Step,Value
1,182400.0
2,182400.0
3,176320.0
4,181440.0
5,173440.0
6,180480.0
7,183360.0
8,175360.0
9,179200.0
10,173120.0
11,175040.0
12,175360.0
13,172800.0
14,172160.0
15,172160.0
16,180480.0
17,179520.0
18,178880.0
19,167040.0
20,182080.0
21,183360.0
22,168640.0
23,175040.0
24,174720.0
25,176000.0
26,174400.0
27,180480.0
28,183040.0
29,178880.0
30,178240.0
31,172480.0
32,180480.0
33,178560.0
34,189120.0
35,177920.0
36,169920.0
37,176640.0
38,173120.0
39,185920.0
40,173440.0
41,182400.0
42,184960.0
43,178560.0
44,176960.0
45,179520.0
46,177280.0
47,184640.0
48,180160.0
49,180480.0
50,176000.0
51,178880.0
52,182400.0
53,176960.0
54,179840.0
55,182720.0
56,176640.0
57,174400.0
58,172160.0
59,185600.0
60,182400.0
61,180480.0
62,172800.0
63,181120.0
64,176640.0
65,178560.0
66,178240.0
67,192640.0
68,176960.0
69,176640.0
70,178240.0
71,181440.0
72,179200.0
73,171520.0
74,177920.0
75,176320.0
76,182720.0
77,184000.0
78,168640.0
79,176000.0
80,182720.0
81,170560.0
82,179200.0
83,176960.0
84,181760.0
85,175040.0
86,176960.0
87,175680.0
88,172160.0
89,172160.0
90,175360.0
91,176960.0
92,178560.0
93,192640.0
94,178560.0
95,183680.0
96,185600.0
97,177920.0
98,180480.0
99,177280.0
100,177600.0
101,182400.0
102,176320.0
103,183360.0
104,182720.0
105,181120.0
106,177280.0
107,176960.0
108,175680.0
109,177280.0
110,179840.0
111,174720.0
112,182720.0
113,173120.0
114,176000.0
115,179520.0
116,174080.0
117,173760.0
118,172160.0
119,176320.0
120,176640.0
121,176320.0
122,169280.0
123,175360.0
124,183040.0
125,176000.0
126,176000.0
127,179520.0
128,181760.0
129,178240.0
130,183680.0
131,177280.0
132,177920.0
133,175040.0
134,174080.0
135,173760.0
136,167360.0
137,178560.0
138,176640.0
139,177920.0
140,182080.0
141,177600.0
142,178880.0
143,169280.0
144,187200.0
145,176000.0
146,176640.0
147,183360.0
148,180160.0
149,175360.0
150,184000.0
151,179520.0
152,174720.0
153,174400.0
154,173440.0
155,177920.0
156,178240.0
157,184320.0
158,171840.0
159,178240.0
160,176960.0
161,170560.0
162,174080.0
163,179200.0
164,175040.0
165,175360.0
166,176320.0
167,175360.0
168,179200.0
169,170240.0
170,182720.0
171,172160.0
172,177600.0
173,181120.0
174,171840.0
175,181760.0
176,174080.0
177,176640.0
178,179200.0
179,179840.0
180,181760.0
181,174080.0
182,173440.0
183,171840.0
184,170560.0
185,181760.0
186,169920.0
187,175360.0
188,178880.0
189,181760.0
190,175680.0
191,178240.0
192,176320.0
193,167360.0
194,176000.0
195,182720.0
196,180480.0
197,184960.0
198,180480.0
199,171520.0
200,177600.0
201,178560.0
202,183040.0
203,177280.0
204,173440.0
205,179840.0
206,174400.0
207,191040.0
208,179200.0
209,179200.0
210,179840.0
211,180480.0
212,175360.0
213,178880.0
214,172800.0
215,174400.0
216,181120.0
217,177600.0
218,177920.0
219,180800.0
220,184640.0
221,185600.0
222,185280.0
223,175360.0
224,171200.0
225,183680.0
226,175360.0
227,182720.0
228,179200.0
229,168960.0
230,177920.0
231,177600.0
232,175360.0
233,168960.0
234,184320.0
235,177280.0
236,179200.0
237,171520.0
238,178880.0
239,178240.0
240,173120.0
241,184640.0
242,177600.0
243,178880.0
244,167360.0
245,177280.0
246,177600.0
247,182080.0
248,176960.0
249,185920.0
250,179200.0
251,179200.0
252,179840.0
253,170240.0
254,186560.0
255,180800.0
256,168320.0
257,181760.0
258,174080.0
259,176960.0
260,178240.0
261,177280.0
262,182080.0
263,181760.0
264,175680.0
265,178560.0
266,176320.0
267,173440.0
268,174720.0
269,179200.0
270,173120.0
271,180480.0
272,181760.0
